sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000353,SRR1502482,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502482,S038,pooled forest soil sample-S038,472,3940448,8742133,3,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000354,SRR1502483,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502483,S039,pooled forest soil sample-S039,476,3052338,6791878,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000355,SRR1502597,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502597,S167,pooled forest soil sample-S167,477,4382738,9454106,4,9,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000356,SRR1502596,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502596,S166,pooled forest soil sample-S166,489,3259643,7053065,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000357,SRR1502451,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502451,S007,pooled forest soil sample-S007,485,3880926,8595518,3,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000358,SRR1502452,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502452,S008,pooled forest soil sample-S008,477,3567719,7901224,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000359,SRR1502454,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502454,S010,pooled forest soil sample-S010,477,3847442,8580189,3,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000360,SRR1502457,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502457,S013,pooled forest soil sample-S013,471,2296449,5132631,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000361,SRR1502458,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502458,S014,pooled forest soil sample-S014,470,2321817,5190827,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000362,SRR1502447,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502447,S003,pooled forest soil sample-S003,481,4324992,9627496,4,9,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000363,SRR1502455,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502455,S011,pooled forest soil sample-S011,478,3944189,8785747,3,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000364,SRR1502459,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502459,S015,pooled forest soil sample-S015,462,2170247,4887873,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000365,SRR1502446,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502446,S002,pooled forest soil sample-S002,462,2835942,6350621,2,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000366,SRR1502448,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502448,S004,pooled forest soil sample-S004,484,3395375,7545703,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000367,SRR1502449,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502449,S005,pooled forest soil sample-S005,483,3652472,8076744,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000368,SRR1502453,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502453,S009,pooled forest soil sample-S009,451,3349872,7523974,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000369,SRR1502450,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502450,S006,pooled forest soil sample-S006,486,3491209,7763162,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000370,SRR1502445,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502445,S001,pooled forest soil sample-S001,451,3619022,8184317,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000371,SRR1502456,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502456,S012,pooled forest soil sample-S012,474,3661015,8131246,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000372,SRR1502400,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502400,G2756,pooled forest soil sample-G2756,457,1929424,4339320,1,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000373,SRR1502401,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502401,G2757,pooled forest soil sample-G2757,468,2776905,6179045,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000374,SRR1502403,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502403,G2758,pooled forest soil sample-G2758,456,1969498,4392681,1,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000375,SRR1502538,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502538,S097,pooled forest soil sample-S097,468,2276564,5124330,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000376,SRR1502633,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502633,S203,pooled forest soil sample-S203,463,2069034,4646276,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000377,SRR1502631,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502631,S201,pooled forest soil sample-S201,439,2488397,5694512,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000378,SRR1502632,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502632,S202,pooled forest soil sample-S202,439,2061902,4721024,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000379,SRR1502405,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502405,G2761a,pooled forest soil sample-G2761a,455,2141254,4813947,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000380,SRR1502404,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502404,G2760,pooled forest soil sample-G2760,474,2575952,5694040,2,5,4,2014-07-09T00:00:00Z,2014-07-09
