author_pk,affiliation_pk
MDDBAUT000043,MDDBAFF000030
MDDBAUT000046,MDDBAFF000031
MDDBAUT000049,MDDBAFF000032
MDDBAUT000050,MDDBAFF000033
MDDBAUT000052,MDDBAFF000034
MDDBAUT000054,MDDBAFF000035
MDDBAUT000057,MDDBAFF000036
MDDBAUT000059,MDDBAFF000037
MDDBAUT000060,MDDBAFF000037
MDDBAUT000061,MDDBAFF000037
MDDBAUT000062,MDDBAFF000037
MDDBAUT000063,MDDBAFF000037
MDDBAUT000064,MDDBAFF000037
MDDBAUT000065,MDDBAFF000037
MDDBAUT000066,MDDBAFF000037
MDDBAUT000067,MDDBAFF000037
MDDBAUT000068,MDDBAFF000037
MDDBAUT000069,MDDBAFF000037
MDDBAUT000075,MDDBAFF000037
MDDBAUT000078,MDDBAFF000037
MDDBAUT000070,MDDBAFF000038
MDDBAUT000071,MDDBAFF000038
MDDBAUT000072,MDDBAFF000038
MDDBAUT000070,MDDBAFF000039
MDDBAUT000072,MDDBAFF000039
MDDBAUT000073,MDDBAFF000041
MDDBAUT000077,MDDBAFF000041
MDDBAUT000074,MDDBAFF000042
MDDBAUT000075,MDDBAFF000043
MDDBAUT000076,MDDBAFF000044
MDDBAUT000080,MDDBAFF000045
MDDBAUT000081,MDDBAFF000045
MDDBAUT000084,MDDBAFF000045
MDDBAUT000082,MDDBAFF000046
MDDBAUT000083,MDDBAFF000047
MDDBAUT000085,MDDBAFF000048
MDDBAUT000086,MDDBAFF000048
MDDBAUT000087,MDDBAFF000048
MDDBAUT000088,MDDBAFF000048
MDDBAUT000089,MDDBAFF000048
MDDBAUT000090,MDDBAFF000049
MDDBAUT000091,MDDBAFF000050
MDDBAUT000092,MDDBAFF000051
MDDBAUT000094,MDDBAFF000051
MDDBAUT000092,MDDBAFF000052
MDDBAUT000096,MDDBAFF000052
MDDBAUT000092,MDDBAFF000053
MDDBAUT000095,MDDBAFF000053
MDDBAUT000096,MDDBAFF000053
MDDBAUT000044,MDDBAFF000054
MDDBAUT000044,MDDBAFF000055
MDDBAUT000093,MDDBAFF000056
MDDBAUT000136,MDDBAFF000056
MDDBAUT000149,MDDBAFF000056
MDDBAUT000151,MDDBAFF000056
MDDBAUT000153,MDDBAFF000056
MDDBAUT000041,MDDBAFF000057
MDDBAUT000097,MDDBAFF000057
MDDBAUT000100,MDDBAFF000058
MDDBAUT000101,MDDBAFF000058
MDDBAUT000102,MDDBAFF000059
MDDBAUT000102,MDDBAFF000060
MDDBAUT000142,MDDBAFF000060
MDDBAUT000103,MDDBAFF000061
MDDBAUT000104,MDDBAFF000061
MDDBAUT000109,MDDBAFF000061
MDDBAUT000178,MDDBAFF000061
MDDBAUT000179,MDDBAFF000061
MDDBAUT000189,MDDBAFF000061
MDDBAUT000194,MDDBAFF000061
MDDBAUT000105,MDDBAFF000062
MDDBAUT000107,MDDBAFF000062
MDDBAUT000106,MDDBAFF000063
MDDBAUT000108,MDDBAFF000064
MDDBAUT000113,MDDBAFF000065
