author_pk,article_pk,contribution_first
MDDBAUT000066,MDDBART000004,N
MDDBAUT000067,MDDBART000002,N
MDDBAUT000068,MDDBART000002,N
MDDBAUT000068,MDDBART000004,Y
MDDBAUT000069,MDDBART000002,N
MDDBAUT000069,MDDBART000004,N
MDDBAUT000070,MDDBART000003,Y
MDDBAUT000071,MDDBART000003,N
MDDBAUT000072,MDDBART000003,N
MDDBAUT000073,MDDBART000004,N
MDDBAUT000074,MDDBART000004,N
MDDBAUT000075,MDDBART000004,N
MDDBAUT000076,MDDBART000004,N
MDDBAUT000077,MDDBART000004,N
MDDBAUT000078,MDDBART000004,N
MDDBAUT000079,MDDBART000004,N
MDDBAUT000080,MDDBART000005,Y
MDDBAUT000081,MDDBART000005,N
MDDBAUT000082,MDDBART000005,N
MDDBAUT000083,MDDBART000005,N
MDDBAUT000084,MDDBART000005,N
MDDBAUT000085,MDDBART000006,Y
MDDBAUT000086,MDDBART000006,N
MDDBAUT000087,MDDBART000006,N
MDDBAUT000088,MDDBART000006,N
MDDBAUT000088,MDDBART000007,N
MDDBAUT000088,MDDBART000008,N
MDDBAUT000089,MDDBART000007,Y
MDDBAUT000089,MDDBART000008,Y
MDDBAUT000090,MDDBART000007,N
MDDBAUT000090,MDDBART000008,N
MDDBAUT000091,MDDBART000008,N
MDDBAUT000092,MDDBART000009,Y
MDDBAUT000093,MDDBART000009,N
MDDBAUT000094,MDDBART000009,N
MDDBAUT000095,MDDBART000009,N
MDDBAUT000096,MDDBART000009,N
MDDBAUT000097,MDDBART000010,Y
MDDBAUT000098,MDDBART000010,N
MDDBAUT000099,MDDBART000010,N
MDDBAUT000100,MDDBART000010,N
MDDBAUT000101,MDDBART000010,N
MDDBAUT000102,MDDBART000010,N
MDDBAUT000103,MDDBART000011,Y
MDDBAUT000103,MDDBART000021,Y
MDDBAUT000103,MDDBART000023,N
MDDBAUT000104,MDDBART000011,N
MDDBAUT000105,MDDBART000011,N
MDDBAUT000106,MDDBART000011,N
MDDBAUT000107,MDDBART000011,N
MDDBAUT000108,MDDBART000011,N
MDDBAUT000109,MDDBART000011,N
MDDBAUT000109,MDDBART000025,N
MDDBAUT000110,MDDBART000012,Y
MDDBAUT000111,MDDBART000012,Y
MDDBAUT000112,MDDBART000012,Y
MDDBAUT000113,MDDBART000012,N
MDDBAUT000114,MDDBART000012,N
MDDBAUT000115,MDDBART000012,N
MDDBAUT000116,MDDBART000012,N
MDDBAUT000117,MDDBART000012,N
MDDBAUT000118,MDDBART000012,N
MDDBAUT000119,MDDBART000012,N
MDDBAUT000120,MDDBART000012,N
MDDBAUT000121,MDDBART000012,N
MDDBAUT000122,MDDBART000012,N
MDDBAUT000123,MDDBART000012,N
MDDBAUT000124,MDDBART000012,N
MDDBAUT000125,MDDBART000012,N
MDDBAUT000126,MDDBART000012,N
MDDBAUT000127,MDDBART000012,N
MDDBAUT000128,MDDBART000012,N
MDDBAUT000129,MDDBART000012,N
MDDBAUT000130,MDDBART000012,N
MDDBAUT000131,MDDBART000013,Y
MDDBAUT000131,MDDBART000014,Y
MDDBAUT000132,MDDBART000013,N
MDDBAUT000133,MDDBART000013,N
MDDBAUT000134,MDDBART000013,N
MDDBAUT000134,MDDBART000014,N
MDDBAUT000135,MDDBART000014,N
MDDBAUT000136,MDDBART000015,Y
MDDBAUT000137,MDDBART000015,N
MDDBAUT000138,MDDBART000015,N
MDDBAUT000139,MDDBART000015,N
MDDBAUT000140,MDDBART000015,N
MDDBAUT000141,MDDBART000015,N
MDDBAUT000142,MDDBART000015,N
MDDBAUT000143,MDDBART000015,N
MDDBAUT000144,MDDBART000015,N
MDDBAUT000145,MDDBART000015,N
MDDBAUT000146,MDDBART000015,N
MDDBAUT000147,MDDBART000015,N
MDDBAUT000148,MDDBART000015,N
MDDBAUT000149,MDDBART000015,N
MDDBAUT000150,MDDBART000015,N
MDDBAUT000151,MDDBART000015,N
MDDBAUT000152,MDDBART000015,N
MDDBAUT000153,MDDBART000015,N
MDDBAUT000154,MDDBART000016,N
MDDBAUT000155,MDDBART000016,N
MDDBAUT000156,MDDBART000016,N
MDDBAUT000157,MDDBART000016,N
MDDBAUT000158,MDDBART000017,Y
MDDBAUT000159,MDDBART000017,N
MDDBAUT000160,MDDBART000017,N
MDDBAUT000161,MDDBART000017,N
MDDBAUT000162,MDDBART000017,N
