study_pk,sample_pk
MDDBSRA000001,MDDBSRS000054
MDDBSRA000001,MDDBSRS000055
MDDBSRA000001,MDDBSRS000056
MDDBSRA000001,MDDBSRS000057
MDDBSRA000001,MDDBSRS000058
MDDBSRA000001,MDDBSRS000059
MDDBSRA000001,MDDBSRS000060
MDDBSRA000001,MDDBSRS000061
MDDBSRA000001,MDDBSRS000062
MDDBSRA000001,MDDBSRS000063
MDDBSRA000001,MDDBSRS000064
MDDBSRA000001,MDDBSRS000065
MDDBSRA000001,MDDBSRS000066
MDDBSRA000001,MDDBSRS000067
MDDBSRA000001,MDDBSRS000068
MDDBSRA000001,MDDBSRS000069
MDDBSRA000001,MDDBSRS000070
MDDBSRA000001,MDDBSRS000071
MDDBSRA000001,MDDBSRS000072
MDDBSRA000001,MDDBSRS000073
MDDBSRA000001,MDDBSRS000074
MDDBSRA000001,MDDBSRS000075
MDDBSRA000001,MDDBSRS000076
MDDBSRA000001,MDDBSRS000077
MDDBSRA000001,MDDBSRS000078
MDDBSRA000001,MDDBSRS000079
MDDBSRA000001,MDDBSRS000080
MDDBSRA000001,MDDBSRS000081
MDDBSRA000001,MDDBSRS000082
MDDBSRA000001,MDDBSRS000083
MDDBSRA000001,MDDBSRS000084
MDDBSRA000001,MDDBSRS000085
MDDBSRA000001,MDDBSRS000086
MDDBSRA000001,MDDBSRS000087
MDDBSRA000001,MDDBSRS000088
MDDBSRA000001,MDDBSRS000089
MDDBSRA000001,MDDBSRS000090
MDDBSRA000001,MDDBSRS000091
MDDBSRA000001,MDDBSRS000092
MDDBSRA000001,MDDBSRS000093
MDDBSRA000001,MDDBSRS000094
MDDBSRA000001,MDDBSRS000095
MDDBSRA000001,MDDBSRS000096
MDDBSRA000001,MDDBSRS000097
MDDBSRA000001,MDDBSRS000098
MDDBSRA000001,MDDBSRS000099
MDDBSRA000001,MDDBSRS000100
MDDBSRA000001,MDDBSRS000101
MDDBSRA000001,MDDBSRS000102
MDDBSRA000001,MDDBSRS000103
MDDBSRA000001,MDDBSRS000104
MDDBSRA000001,MDDBSRS000105
MDDBSRA000001,MDDBSRS000106
MDDBSRA000001,MDDBSRS000107
MDDBSRA000001,MDDBSRS000108
MDDBSRA000001,MDDBSRS000109
MDDBSRA000001,MDDBSRS000110
MDDBSRA000001,MDDBSRS000111
MDDBSRA000001,MDDBSRS000112
MDDBSRA000001,MDDBSRS000113
MDDBSRA000001,MDDBSRS000114
MDDBSRA000001,MDDBSRS000115
MDDBSRA000001,MDDBSRS000116
MDDBSRA000001,MDDBSRS000117
MDDBSRA000001,MDDBSRS000118
MDDBSRA000001,MDDBSRS000119
MDDBSRA000001,MDDBSRS000120
MDDBSRA000001,MDDBSRS000121
MDDBSRA000001,MDDBSRS000122
MDDBSRA000001,MDDBSRS000123
MDDBSRA000001,MDDBSRS000124
MDDBSRA000001,MDDBSRS000125
MDDBSRA000001,MDDBSRS000126
MDDBSRA000001,MDDBSRS000127
MDDBSRA000001,MDDBSRS000128
MDDBSRA000001,MDDBSRS000129
MDDBSRA000001,MDDBSRS000130
MDDBSRA000001,MDDBSRS000131
MDDBSRA000001,MDDBSRS000132
MDDBSRA000001,MDDBSRS000133
MDDBSRA000001,MDDBSRS000134
MDDBSRA000001,MDDBSRS000135
MDDBSRA000001,MDDBSRS000136
MDDBSRA000001,MDDBSRS000137
MDDBSRA000001,MDDBSRS000138
MDDBSRA000001,MDDBSRS000139
MDDBSRA000001,MDDBSRS000140
MDDBSRA000001,MDDBSRS000141
MDDBSRA000001,MDDBSRS000142
MDDBSRA000001,MDDBSRS000143
MDDBSRA000001,MDDBSRS000144
MDDBSRA000001,MDDBSRS000145
MDDBSRA000001,MDDBSRS000146
MDDBSRA000001,MDDBSRS000147
MDDBSRA000001,MDDBSRS000148
MDDBSRA000001,MDDBSRS000149
MDDBSRA000001,MDDBSRS000150
MDDBSRA000001,MDDBSRS000151
MDDBSRA000001,MDDBSRS000152
MDDBSRA000001,MDDBSRS000153
MDDBSRA000001,MDDBSRS000154
MDDBSRA000001,MDDBSRS000155
MDDBSRA000001,MDDBSRS000156
MDDBSRA000001,MDDBSRS000157
MDDBSRA000001,MDDBSRS000158
MDDBSRA000001,MDDBSRS000159
MDDBSRA000001,MDDBSRS000160
MDDBSRA000001,MDDBSRS000161
MDDBSRA000001,MDDBSRS000162
MDDBSRA000001,MDDBSRS000163
MDDBSRA000001,MDDBSRS000164
MDDBSRA000001,MDDBSRS000165
MDDBSRA000001,MDDBSRS000166
MDDBSRA000001,MDDBSRS000167
MDDBSRA000001,MDDBSRS000168
MDDBSRA000001,MDDBSRS000169
MDDBSRA000001,MDDBSRS000170
MDDBSRA000001,MDDBSRS000171
MDDBSRA000001,MDDBSRS000172
MDDBSRA000001,MDDBSRS000173
MDDBSRA000001,MDDBSRS000174
MDDBSRA000001,MDDBSRS000175
MDDBSRA000001,MDDBSRS000176
MDDBSRA000001,MDDBSRS000177
MDDBSRA000001,MDDBSRS000178
MDDBSRA000001,MDDBSRS000179
MDDBSRA000001,MDDBSRS000180
MDDBSRA000001,MDDBSRS000181
MDDBSRA000001,MDDBSRS000182
MDDBSRA000001,MDDBSRS000183
MDDBSRA000001,MDDBSRS000184
MDDBSRA000001,MDDBSRS000185
MDDBSRA000001,MDDBSRS000186
MDDBSRA000001,MDDBSRS000187
MDDBSRA000001,MDDBSRS000188
MDDBSRA000001,MDDBSRS000189
MDDBSRA000001,MDDBSRS000190
MDDBSRA000001,MDDBSRS000191
MDDBSRA000001,MDDBSRS000192
MDDBSRA000001,MDDBSRS000193
MDDBSRA000001,MDDBSRS000194
